"gene","group","cor","p.value","n","p.adj"
"AR","KO_control",0.774596669241483,0.225403330758516,4,0.430315449629895
"MKI67","KO_control",0.774596669241483,0.225403330758516,4,0.430315449629895
"CDH1","KO_control",0.774596669241483,0.225403330758516,4,0.430315449629895
"AURKA","KO_control",0.774596669241483,0.225403330758516,4,0.430315449629895
"BRCA2","KO_control",0.774596669241483,0.225403330758516,4,0.430315449629895
"TTF1","KO_control",0.774596669241483,0.225403330758516,4,0.430315449629895
"SYP","KO_control",0.774596669241483,0.225403330758516,4,0.430315449629895
"ERG","KO_control",0.258198889747161,0.741801110252839,4,0.741801110252839
"PTEN","KO_control",0.258198889747161,0.741801110252839,4,0.741801110252839
"NCAM1","KO_control",0.258198889747161,0.741801110252839,4,0.741801110252839
"VIM","KO_control",-0.258198889747161,0.741801110252839,4,0.741801110252839
"BRCA1","KO_control",-0.258198889747161,0.741801110252839,4,0.741801110252839
"MYC","KO_control",-0.258198889747161,0.741801110252839,4,0.741801110252839
"INSM1","KO_control",-0.258198889747161,0.741801110252839,4,0.741801110252839
"CHGA","KO_control",-0.258198889747161,0.741801110252839,4,0.741801110252839
"TFRC","KO_control",-0.258198889747161,0.741801110252839,4,0.741801110252839
"SCG2","KO_control",-0.333333333333333,0.666666666666667,4,0.741801110252839
"AMACR","KO_control",-0.774596669241483,0.225403330758516,4,0.430315449629895
"RB1","KO_control",-0.774596669241483,0.225403330758516,4,0.430315449629895
"ACP3","KO_control",-0.774596669241483,0.225403330758516,4,0.430315449629895
"CHGB","KO_control",-0.774596669241483,0.225403330758516,4,0.430315449629895
"TMPRSS2","KO_control",NA,NA,4,NA
